"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family","Scientific Name"
"RUIDS2","RUCA15","Rubus carolinianus Rydb.","","Rosaceae","Rubus carolinianus"
"RUIDS2","RUIDM8","Rubus idaeus L. ssp. melanolasius (Dieck) Focke","","Rosaceae","Rubus idaeus ssp. melanolasius"
"RUIDS2","RUIDS","Rubus idaeus L. ssp. sachalinensis (Levl.) Focke","","Rosaceae","Rubus idaeus ssp. sachalinensis"
"RUIDS2","RUIDA","Rubus idaeus L. var. aculeatissimus Regel & Tiling","","Rosaceae","Rubus idaeus var. aculeatissimus"
"RUIDS2","RUIDC2","Rubus idaeus L. var. canadensis Richardson","","Rosaceae","Rubus idaeus var. canadensis"
"RUIDS2","RUIDG","Rubus idaeus L. var. gracilipes M.E. Jones","","Rosaceae","Rubus idaeus var. gracilipes"
"RUIDS2","RUIDM2","Rubus idaeus L. var. melanolasius (Dieck) R.J. Davis","","Rosaceae","Rubus idaeus var. melanolasius"
"RUIDS2","RUIDM3","Rubus idaeus L. var. melanotrachys (Focke) Fernald","","Rosaceae","Rubus idaeus var. melanotrachys"
"RUIDS2","RUIDS3","Rubus idaeus L. var. strigosus (Michx.) Maxim.","","Rosaceae","Rubus idaeus var. strigosus"
"RUIDS2","RUME4","Rubus melanolasius Dieck","","Rosaceae","Rubus melanolasius"
"RUIDS2","RUNE3","Rubus neglectus Peck","","Rosaceae","Rubus neglectus"
"RUIDS2","RUST","Rubus strigosus Michx.","","Rosaceae","Rubus strigosus"
"RUIDS2","RUSTA2","Rubus strigosus Michx. var. acalyphaceus (Greene) L.H. Bailey","","Rosaceae","Rubus strigosus var. acalyphaceus"
"RUIDS2","RUSTA3","Rubus strigosus Michx. var. arizonicus (Greene) Kearney & Peebles","","Rosaceae","Rubus strigosus var. arizonicus"
"RUIDS2","RUSTC2","Rubus strigosus Michx. var. canadensis (Richardson) House","","Rosaceae","Rubus strigosus var. canadensis"
"RULA","","Rubus laciniatus Willd.","evergreen blackberry","Rosaceae","Rubus laciniatus"
"RULA2","","Rubus lasiococcus A. Gray","dwarf bramble","Rosaceae","Rubus lasiococcus"
"RULA3","","Rudbeckia laciniata L.","cutleaf coneflower","Asteraceae","Rudbeckia laciniata"
"RULAL","","Rudbeckia laciniata L. var. laciniata","cutleaf coneflower","Asteraceae","Rudbeckia laciniata var. laciniata"
"RULAL","RULAH","Rudbeckia laciniata L. var. hortensis L.H. Bailey","","Asteraceae","Rudbeckia laciniata var. hortensis"
"RULE","","Rubus leucodermis Douglas ex Torr. & A. Gray","whitebark raspberry","Rosaceae","Rubus leucodermis"
"RULEL","","Rubus leucodermis Douglas ex Torr. & A. Gray var. leucodermis","whitebark raspberry","Rosaceae","Rubus leucodermis var. leucodermis"
"RULEL","RUOCL2","Rubus occidentalis L. var. leucodermis (Douglas ex Torr. & A. Gray) Focke","","Rosaceae","Rubus occidentalis var. leucodermis"
"RUMA","","Rubus macrophyllus Weihe & Nees","largeleaf blackberry","Rosaceae","Rubus macrophyllus"
"RUMA4","","Rumex maritimus L.","golden dock","Polygonaceae","Rumex maritimus"
"RUMA4","RUFU3","Rumex fueginus Phil.","","Polygonaceae","Rumex fueginus"
"RUMA4","RUMAF","Rumex maritimus L. ssp. fueginus (Phil.) Hultén","","Polygonaceae","Rumex maritimus ssp. fueginus"
"RUMA4","RUMAA","Rumex maritimus L. var. athrix H. St. John","","Polygonaceae","Rumex maritimus var. athrix"
"RUMA4","RUMAF2","Rumex maritimus L. var. fueginus (Phil.) Dusén","","Polygonaceae","Rumex maritimus var. fueginus"
"RUMA4","RUMAP2","Rumex maritimus L. var. persicarioides (L.) R.S. Mitchell","","Polygonaceae","Rumex maritimus var. persicarioides"
"RUMA4","RUPE11","Rumex persicarioides L.","","Polygonaceae","Rumex persicarioides"
"RUMA5","","Ruppia maritima L.","widgeongrass","Ruppiaceae","Ruppia maritima"
"RUMA5","RUMAB","Ruppia maritima L. var. brevirostris J. Agardh","","Ruppiaceae","Ruppia maritima var. brevirostris"
"RUMA5","RUMAE","Ruppia maritima L. var. exigua Fernald & Wiegand","","Ruppiaceae","Ruppia maritima var. exigua"
"RUMA5","RUMAI","Ruppia maritima L. var. intermedia (Thed.) Asch. & Graebn.","","Ruppiaceae","Ruppia maritima var. intermedia"
"RUMA5","RUMAL","Ruppia maritima L. var. longipes Hagstr.","","Ruppiaceae","Ruppia maritima var. longipes"
