Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Aegopodium podagraria	False		0.0
Aegopodium podagraria var. variegatum	False		0.0
Aesculus	False		0.0
Agrostis aequivalvis	False		0.0
Podagrostis aequivalvis	False		0.0
Agoseris apargioides	False		0.0
Agoseris apargioides var. eastwoodiae	False		0.0
Agoseris eastwoodiae	False		0.0
Agoseris apargioides var. maritima	False		0.0
Agoseris apargioides ssp. maritima	False		0.0
Agoseris maritima	False		0.0
Agastache	True	DerbyCanyonNatives, DesertJewelsNursery, NorthwestMeadowscapes, 	23.08
Agoseris aurantiaca	False		0.0
Agoseris aurantiaca var. aurantiaca	False		0.0
Agoseris graminifolia	False		0.0
Agoseris rostrata	False		0.0
Troximon aurantiacum	False		0.0
Agrostis capillaris	True	LandHSeeds, 	7.69
Agrostis sylvatica	False		0.0
Agrostis tenuis	False		0.0
Agrostis tenuis var. aristata	False		0.0
Agrostis tenuis var. hispida	False		0.0
Agrostis tenuis var. pumila	False		0.0
Agrostis vulgaris	False		0.0
Agropyron cristatum	True	LandHSeeds, 	7.69
Agropyron cristatum ssp. pectinatum	False		0.0
Agropyron cristatiforme	False		0.0
Agropyron pectinatum	False		0.0
Agropyron pectiniforme	False		0.0
Agoseris elata	False		0.0
Stylopappus elatus	False		0.0
Ageratina	False		0.0
Agrostis exarata	True	FourthCornerNursery, NorthwestMeadowscapes, 	15.38
Agrostis aenea	False		0.0
Agrostis alaskana	False		0.0
Agrostis ampla	False		0.0
Agrostis asperifolia	False		0.0
Agrostis exarata ssp. minor	False		0.0
Agrostis exarata var. minor	False		0.0
Agrostis exarata var. monolepis	False		0.0
Agrostis exarata var. pacifica	False		0.0
Agrostis exarata var. purpurascens	False		0.0
Agrostis longiligula	False		0.0
Agrostis longiligula var. australis	False		0.0
Agrostis melaleuca	False		0.0
Agrostis microphylla var. major	False		0.0
Agastache foeniculum	True	DesertJewelsNursery, 	7.69
Agastache anethiodora	False		0.0
Agrostemma githago	False		0.0
Agrostis gigantea	True	LandHSeeds, 	7.69
Agrostis alba	False		0.0
Agrostis gigantea var. dispar	False		0.0
Agrostis nigra	False		0.0
Agrostis stolonifera ssp. gigantea	False		0.0
Agrostis stolonifera var. major	False		0.0
Agoseris glauca	False		0.0
Agoseris glauca var. agrestis	False		0.0
Agoseris agrestis	False		0.0
Agoseris glauca var. dasycephala	False		0.0
Agoseris glauca ssp. scorzonerifolia	False		0.0
Agoseris glauca var. asper	False		0.0
Agoseris glauca var. pumila	False		0.0
Agoseris scorzonerifolia	False		0.0
Troximon glaucum var. dasycephalum	False		0.0
Agoseris glauca var. glauca	False		0.0
Agoseris turbinata	False		0.0
Troximon glaucum	False		0.0
Agoseris glauca var. monticola	False		0.0
Agoseris monticola	False		0.0
Agoseris grandiflora	False		0.0
Agoseris grandiflora var. leptophylla	False		0.0
Agoseris laciniata	False		0.0
Agoseris plebeja	False		0.0
Troximon grandiflorum	False		0.0
Agrimonia gryposepala	False		0.0
Agrostis hallii	False		0.0
Agrostis hallii var. pringlei	False		0.0
Agoseris heterophylla	False		0.0
Agoseris heterophylla var. heterophylla	False		0.0
Agoseris heterophylla ssp. californica	False		0.0
Agoseris heterophylla ssp. normalis	False		0.0
Agoseris heterophylla var. cryptopleura	False		0.0
Agoseris heterophylla var. kymapleura	False		0.0
Macrorhynchus heterophyllus	False		0.0
Agrostis humilis	False		0.0
Agrostis thurberiana	False		0.0
Podagrostis humilis	False		0.0
Podagrostis thurberiana	False		0.0
Agrostis idahoensis	False		0.0
Agrostis borealis var. recta	False		0.0
Agrostis clavata	False		0.0
Agrostis filicumis	False		0.0
×Agropogon littoralis stolonifera monospeliensis]	False		0.0
Polypogon littoralis	False		0.0
Agrostis mertensii	False		0.0
Agrostis bakeri	False		0.0
Agrostis borealis	False		0.0
Agrostis borealis var. americana	False		0.0
Agrostis borealis var. paludosa	False		0.0
Agrostis idahoensis var. bakeri	False		0.0
Agrostis mertensii ssp. borealis	False		0.0
Agrostis rupestris	False		0.0
Agrostis microphylla	False		0.0
Agrostis inflata	False		0.0
Agrostis microphylla var. intermedia	False		0.0
Agastache occidentalis	False		0.0
Ageratina occidentalis	False		0.0
Eupatorium occidentale	False		0.0
Agrostis oregonensis	False		0.0
Agoseris	False		0.0
Agrostis pallens	False		0.0
Agrostis diegoensis	False		0.0
Agrostis lepida	False		0.0
Agrostis pallens var. vaseyi	False		0.0
Agrostis perennans	False		0.0
Agrostis altissima	False		0.0
Agrostis elata	False		0.0
Agrostis oreophila	False		0.0
Agrostis perennans var. aestivalis	False		0.0
Agrostis perennans var. elata	False		0.0
Agrostis schweinitzii	False		0.0
Cornucopiae perennans	False		0.0
Agoseris retrorsa	False		0.0
Macrorhynchus retrorsus	False		0.0
Agrimonia	False		0.0
Agropyron	True	DesertJewelsNursery, LandHSeeds, 	15.38
×Agropogon	False		0.0
Agrostemma	False		0.0
Agrostis	True	FourthCornerNursery, InsidePassageSeeds, LandHSeeds, NorthwestMeadowscapes, 	30.77
Agrostis scabra	True	LandHSeeds, 	7.69
Agrostis geminata	False		0.0
Agrostis hyemalis var. geminata	False		0.0
Agrostis hyemalis var. scabra	False		0.0
Agrostis hyemalis var. tenuis	False		0.0
Agrostis scabra ssp. septentrionalis	False		0.0
Agrostis scabra var. geminata	False		0.0
Agrostis scabra var. septentrionalis	False		0.0
Agrostis stolonifera	True	LandHSeeds, 	7.69
Agrostis alba var. palustris	False		0.0
Agrostis alba var. stolonifera	False		0.0
Agrostis maritima	False		0.0
Agrostis palustris	False		0.0
Agrostis stolonifera var. compacta	False		0.0
Agrostis stolonifera var. palustris	False		0.0
Agastache urticifolia	True	DesertJewelsNursery, NorthwestMeadowscapes, 	15.38
Agastache urticifolia var. urticifolia	False		0.0
Agrostis variabilis	False		0.0
Agrostis rossiae	False		0.0
Ailanthus altissima	False		0.0
Ailanthus glandulosa	False		0.0
Toxicodendron altissimum	False		0.0
Aira caryophyllea	False		0.0
Aira caryophyllea var. caryophyllea	False		0.0
Aspris caryophyllea	False		0.0
Aira elegans	False		0.0
Aira capillaris	False		0.0
Aira caryophyllea var. capillaris	False		0.0
Aira elegans ssp. ambigua	False		0.0
Aira elegantissima	False		0.0
Aspris capillaris	False		0.0
Ailanthus	False		0.0
Aira praecox	False		0.0
Aspris praecox	False		0.0
Aira	False		0.0
Ajuga reptans	True	HimaNursery, 	7.69
Ajuga	True	HimaNursery, 	7.69
Allium acuminatum	True	FourthCornerNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, 	23.08
Allium acuminatum var. cuspidatum	False		0.0
Alopecurus aequalis	False		0.0
Alopecurus aequalis var. aequalis	False		0.0
Alopecurus aequalis var. natans	False		0.0
Alopecurus aristulatus	False		0.0
Alopecurus geniculatus var. aristulatus	False		0.0
Alyssum alyssoides	False		0.0
Alyssum calycinum	False		0.0
Clypeola alyssoides	False		0.0
Allium amplectens	True	FourthCornerNursery, 	7.69
Allium attenuifolium	False		0.0
Allium monospermum	False		0.0
Allium occidentale	False		0.0
Alopecurus arundinaceus	True	LandHSeeds, 	7.69
Alopecurus ventricosus	False		0.0
Allium campanulatum	False		0.0
Allium austinae	False		0.0
Allium bidwelliae	False		0.0
Allium campanulatum var. bidwelliae	False		0.0
Alopecurus carolinianus	False		0.0
Alopecurus macounii	False		0.0
Alopecurus ramosus	False		0.0
Allium cernuum	True	DerbyCanyonNatives, FourthCornerNursery, InsidePassageSeeds, NorthwestMeadowscapes, OxbowFarmandConservationCenter, 	38.46
Alcea	False		0.0
Allium cernuum var. cernuum	False		0.0
Allium cernuum var. obtusum	False		0.0
Allium natans	False		0.0
Allium recurvatum	False		0.0
Allium columbianum	False		0.0
Allium douglasii var. columbianum	False		0.0
Allium constrictum	False		0.0
Allium douglasii var. constrictum	False		0.0
Allium crenulatum	False		0.0
Allium cascadense	False		0.0
Allium vancouverense	False		0.0
Allium watsonii	False		0.0
Alyssum desertorum	False		0.0
Alyssum desertorum var. desertorum	False		0.0
Alyssum turkestanicum	False		0.0
Allium dictuon	False		0.0
Allium douglasii	False		0.0
Allium fibrillum	False		0.0
Allium collinum	False		0.0
Allium geyeri	False		0.0
Alopecurus geniculatus	False		0.0
Allium geyeri var. geyeri	False		0.0
Allium dictyotum	False		0.0
Alopecurus geniculatus var. geniculatus	False		0.0
Alopecurus pallescens	False		0.0
Allium geyeri var. tenerum	False		0.0
Allium arenicola	False		0.0
Allium fibrosum	False		0.0
Allium geyeri ssp. tenerum	False		0.0
Allium geyeri var. graniferum	False		0.0
Allium rubrum	False		0.0
Allium rydbergii	False		0.0
Allium sabulicola	False		0.0
Allophyllum gilioides	False		0.0
Allophyllum gilioides ssp. gilioides	False		0.0
Gilia gilioides	False		0.0
Alisma gramineum	False		0.0
Alisma geyeri	False		0.0
Alisma gramineum var. angustissimum	False		0.0
Alisma gramineum var. geyeri	False		0.0
Alisma gramineum var. graminifolium	False		0.0
Alisma gramineum var. wahlenbergii	False		0.0
Alisma lanceolatum	False		0.0
Alhagi	False		0.0
Aliciella	False		0.0
Alnus incana	True	DerbyCanyonNatives, FourthCornerNursery, 	15.38
Alnus incana ssp. tenuifolia	True	FourthCornerNursery, 	7.69
Alnus incana var. occidentalis	False		0.0
Alnus incana var. virescens	False		0.0
Alnus	True	BurntRidgeNursery, DerbyCanyonNatives, FourthCornerNursery, HimaNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, 	46.15
Alnus tenuifolia	False		0.0
Alisma	True	FourthCornerNursery, 	7.69
Aliciella leptomeria	False		0.0
Gilia leptomeria	False		0.0
Alliaria	False		0.0
Allium	True	DerbyCanyonNatives, FourthCornerNursery, InsidePassageSeeds, NorthwestMeadowscapes, OxbowFarmandConservationCenter, 	38.46
Aliciella lottiae	False		0.0
Gilia lottiae	False		0.0
Allophyllum	False		0.0
Allotropa	False		0.0
Alhagi maurorum	False		0.0
Alhagi camelorum	False		0.0
Alhagi pseudalhagi	False		0.0
Allium macrum	False		0.0
Allium equicaeleste	False		0.0
Alopecurus myosuroides	False		0.0
Alopecurus agrestis	False		0.0
Allium nevii	False		0.0
Allium douglasii var. nevii	False		0.0
Allium nigrum	False		0.0
Allium multibulbosum	False		0.0
Alopecurus	True	HimaNursery, LandHSeeds, 	15.38
Alliaria petiolata	False		0.0
Alliaria alliaria nom. inval.	False		0.0
Alliaria officinalis	False		0.0
Erysimum alliaria	False		0.0
Sisymbrium alliaria	False		0.0
Alisma plantago-aquatica	False		0.0
Alopecurus pratensis	True	HimaNursery, 	7.69
Alnus rhombifolia	True	FourthCornerNursery, 	7.69
Alnus rhombifolia var. bernardina	False		0.0
Allium robinsonii	False		0.0
Alcea rosea	False		0.0
Alcea ficifolia	False		0.0
Althaea rosea	False		0.0
