Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon	ID	ModifiedOn	Contributors	InformalClassification	Family	TaxonID	TaxonName	SeeAlso	NameRank	Hybrid	TerminalTaxon	Excluded	Peripheral	Waif	Endemic	Extirpated	OriginCode	Origin	Distribution	Voucher	Comments	
Aira elegans	False		0.0	5297	2009-04-29 08:42:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133856	Aira elegans		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA24: "Aira caryophyllea var. capillaris is native to Europe, northern Africa, and western Asia. It usually grows in dry to somewhat moist, sandy loam soils of grassy banks, woodland openings, and disturbed sites such as pastures and roadsides.<br><br>Aira caryophyllea var. capillaris is the correct name for this taxon at the varietal level. If treated at the species level, its correct name is Aira elegans Willd. ex Roem. & Schult."	
Ailanthus	False		0.0	4429	2018-05-02 22:04:00		Vascular Plants: Dicots	Simaroubaceae	118416	Ailanthus		genus		N	N	N	N	N	N	I	Introduced				
Aira praecox	False		0.0	5298	2009-04-29 08:48:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133869	Aira praecox		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA24: "Aira praecox is native to Europe. In the Flora region, it grows mainly along or near the Pacific and Atlantic coasts, in dry to vernally moist sand dunes or in sandy to rocky soils, on rock faces and ledges, and in disturbed areas such as the edges of roads, railways, and airports. It is usually found in lowland areas, though it occasionally grows at montane to subalpine elevations."	
Aira	False		0.0	5294	2018-05-02 22:04:00		Vascular Plants: Monocots	Poaceae	133821	Aira		genus		N	N	N	N	N	N	I	Introduced				
Ajuga reptans	True	HimaNursery, 	4.17	2737	2010-02-11 08:40:00	Fred Weinmann	Vascular Plants: Dicots	Lamiaceae	89768	Ajuga reptans		species		Y	N	N	N	N	N	I	Introduced from Europe		{"Herbarium":"WTU"}		
Ajuga	True	HimaNursery, 	4.17	2736	2018-05-02 22:04:00		Vascular Plants: Dicots	Lamiaceae	89765	Ajuga		genus		N	N	N	N	N	N	I	Introduced				
Allium acuminatum	True	FourthCornerNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, 	16.67	4598	2012-08-06 09:50:00	Fred Weinmann	Vascular Plants: Monocots	Amaryllidaceae	122070	Allium acuminatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alopecurus aequalis	False		0.0	5300	2009-04-29 08:55:00	David Giblin	Vascular Plants: Monocots	Poaceae	133897	Alopecurus aequalis		species		N	N	N	N	N	N	N	Native				
Alopecurus aequalis var. aequalis	False		0.0	5301	2015-10-02 11:50:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133936	Alopecurus aequalis var. aequalis		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA24: "Alopecurus aequalis is native to temperate zones of the Northern Hemisphere. It generally grows in wet meadows, forest openings, shores, springs, and along streams, as well as in ditches, along roadsides, and in other disturbed sites, from sea level to subalpine elevations.<br><br>Alopecurus aequalis is the most widespread and variable species of Alopecurus in the Flora region."	
Alyssum alyssoides	False		0.0	1464	2010-03-27 13:47:00	Peter F. Zika	Vascular Plants: Dicots	Brassicaceae	56729	Alyssum alyssoides		species		Y	N	N	N	N	N	I	Introduced from Eurasia		{"Herbarium":"WTU"}		
Allium amplectens	True	FourthCornerNursery, 	4.17	4599	2012-08-06 09:50:00	Fred Weinmann	Vascular Plants: Monocots	Amaryllidaceae	122077	Allium amplectens		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA26: "All three chromosome races of Allium amplectens are widespread. The triploids are achiasmatic, causing a breakdown in the first meiotic division. This is followed by a normal second division resulting in pollen dyads that are, presumably, nonfunctional; seeds are produced by apomixis. The diploids and tetraploids produce normal pollen, in tetrads, that appears to be functional."	
Alopecurus arundinaceus	True	LandHSeeds, RainierSeeds, 	8.33	5302	2009-04-29 08:53:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133942	Alopecurus arundinaceus		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA24: "Alopecurus arundinaceus is native to Eurasia, extending north of the Arctic Circle and south to the Mediterranean. It grows on wet, moderately acid to moderately alkaline soils, on flood plains, vernal ponds, and along rivers, streams, bogs, potholes, and sloughs. It was introduced for pasture in North Dakota and now occurs more widely, having been promoted as a forage species, and is sometimes used in seed mixtures for revegetation projects. It was evaluated for revegetation in Alberta, but there is no evidence that it was ever actually used in that province. Alopecurus arundinaceus was found to suppress Hordeum jubatum, a troublesome, unpalatable, weedy species, in irrigated pastures (Moyer and Boswall 2002)."	
Alstroemeria aurea	False		0.0	4595	2012-08-06 10:02:00	Peter F. Zika	Vascular Plants: Monocots	Alstroemeriaceae	122047	Alstroemeria aurea		species		N	N	N	Y	N	N	I	Introduced from Chile		{"Herbarium":"Not at WTU"}	Spreading from cultivation in Seattle, but not naturalized; not in H&C.	
Allium campanulatum	False		0.0	4600	2012-08-06 09:51:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122119	Allium campanulatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Not listed in WA by FNA.	
Alopecurus carolinianus	False		0.0	5303	2009-04-29 08:54:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133977	Alopecurus carolinianus		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA24: "Alopecurus carolinianus is native to the central plains, Mississippi valley, and southeastern United States, where it is common in wet meadows, ditches, wetland edges, and other moist, open habitats; it is occasionally a weed of rice fields. At the northern limit of its range it is clearly adventive, growing in gardens and nurseries. It also occurs in arid areas of the prairies and southwest, growing sporadically along sloughs and in ditches and vernal pools. Whether such populations are native or naturalized is not clear."	
Allium cepa	False		0.0	4601	2012-08-06 09:52:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122150	Allium cepa		species		Y	N	N	Y	N	N	I	Introduced from Old World, exact origin unknown		{"Herbarium":"Not at WTU; WS?"}	FNA26: "The onion of commerce, Allium cepa is widely cultivated as a biennial in North America, Europe, and Asia. It is unknown in the wild and is probably derived from A. oschanini of central Asia. The cultivated form is often polyploid (2n = 16, 32, 54) and possibly of hybrid origin. It exists in numerous cultivars, a few of which form large bulbils in the umbel."	
Allium cernuum	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, InsidePassageSeeds, NorthwestMeadowscapes, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, StormLakeGrowers, WabashFarms, WatershedGardenWorks, WoodbrookNativePlantNursery, 	50.0	4602	2012-08-06 09:52:00	Fred Weinmann	Vascular Plants: Monocots	Amaryllidaceae	122160	Allium cernuum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA26"Allium cernuum is the most widespread North American species of the genus. It is closely related to A. stellatum, and the character commonly used to differentiate them has been umbel orientation. In both species, the inflorescence is nodding in bud, but in A. stellatum it usually becomes erect by anthesis. In A. cernuum the peduncle remains permanently recurved near the apex, although the inflorescence may sometimes become erect overall, or nearly so. While this character is helpful in identification, an almost exclusive reliance on it (even by one of the present authors in his youth) has obscured other clearer distinctions between the species and has confused their geographic ranges. More reliable characters for differentiating these species are bulb shape (elongate in A. cernuum, ovoid in A. stellatum) and perianth shape (campanulate in A. cernuum, stellate in A. stellatum). Unfortunately, perianth shape is often difficult to see in herbarium specimens."	
Alcea	True	PlantasNativaLLC, PlantsoftheWild, RainierSeeds, SoundNativePlants, WabashFarms, WatershedGardenWorks, 	25.0	2903	2018-05-02 22:04:00		Vascular Plants: Dicots	Malvaceae	92643	Alcea		genus		N	N	N	N	N	N	I	Introduced				
Alchemilla	False		0.0	3924	2018-05-02 22:04:00		Vascular Plants: Dicots	Rosaceae	109291	Alchemilla	Aphanes	genus		N	Y	N	Y	N	N						
Allium columbianum	False		0.0	4603	2012-08-06 09:53:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122170	Allium columbianum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Allium constrictum	False		0.0	4604	2012-08-06 09:53:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122172	Allium constrictum		species		Y	N	N	N	Y	N	N	Native		{"Herbarium":"WTU"}	Endemic to WA - Douglas, Grant, and Lincoln counties.	
Allium crenulatum	False		0.0	4605	2012-08-06 09:54:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122179	Allium crenulatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA26: "Allium crenulatum is known only from west of the Cascade Mountains from Vancouver Island to southwestern Oregon, in Jefferson Park, Oregon, and in the Wenatchee Mountains, central Washington.<br><br>The disjunct populations of Allium crenulatum in western Oregon are markedly different among themselves and from the more typical representatives to the north. It has thus far proven impossible to draw meaningful taxonomic distinctions among these populations, hence we have followed historical precedent and have placed them all in a single, highly variable species."	
Alyssum desertorum	False		0.0	1465	2010-03-27 14:12:00	Peter F. Zika	Vascular Plants: Dicots	Brassicaceae	56737	Alyssum desertorum		species		Y	N	N	N	N	N	I	Introduced from Eurasia		{"Herbarium":"WTU"}		
Allium dictuon	False		0.0	4606	2012-08-06 09:54:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122190	Allium dictuon		species		Y	N	N	N	Y	N	N	Native		{"Herbarium":"WS"}	Endemic to WA.<br><br>FNA26: A. dictuon "differs from A. acuminatum by its rhizomatous habit, in which it resembles A. bolanderi, and in the cellular pattern on the inner bulb coats."	
Allium douglasii	False		0.0	4607	2012-08-06 09:54:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122191	Allium douglasii	Allium columbianum, Allium constrictum, Allium nevii	species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alnus	True	BurntRidgeNursery, DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, StormLakeGrowers, WabashFarms, WACD, WildlandsNursery, WoodbrookNativePlantNursery, 	62.5	1308	2018-05-02 22:04:00		Vascular Plants: Dicots	Betulaceae	55251	Alnus		genus		N	N	N	N	N	N	N	Native				
Allium fibrillum	False		0.0	4608	2012-08-06 09:55:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122203	Allium fibrillum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	We follow FNA with the authority M.E. Jones ex Abrams.	
Allium geyeri	False		0.0	4609	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122215	Allium geyeri		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alopecurus geniculatus	False		0.0	5304	2009-04-29 08:57:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	133987	Alopecurus geniculatus		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA24: "Alopecurus geniculatus is native to Eurasia and parts of North America, growing in shallow water, ditches, open wet meadows, shores, and stream banks from the lowland to montane zones. It has been naturalized in eastern North America. The status of populations in the west, including the Queen Charlotte Islands, British Columbia, is less certain. Many occur in moist sites within native rangeland, but these areas have also been affected by European settlement, although less intensively and for a shorter period than those in eastern North America."	
Allium geyeri var. geyeri	False		0.0	4610	2012-08-06 09:55:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122219	Allium geyeri var. geyeri		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Allium geyeri var. tenerum	False		0.0	4611	2012-08-06 09:55:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122225	Allium geyeri var. tenerum		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alisma gramineum	False		0.0	4580	2007-07-08 13:11:00	Peter F. Zika	Vascular Plants: Monocots	Alismataceae	121862	Alisma gramineum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alopecurus	True	HimaNursery, LandHSeeds, RainierSeeds, 	12.5	5299	2018-05-02 22:04:00		Vascular Plants: Monocots	Poaceae	133894	Alopecurus		genus		N	N	N	N	N	N	N	Native				
Alhagi	False		0.0	2225	2018-05-02 22:04:00		Vascular Plants: Dicots	Fabaceae	71367	Alhagi		genus		N	N	N	N	N	N	I	Introduced				
Aliciella	False		0.0	3484	2018-05-02 22:04:00		Vascular Plants: Dicots	Polemoniaceae	102880	Aliciella		genus		N	N	N	N	N	N	N	Native				
Alnus incana	True	DerbyCanyonNatives, FourthCornerNursery, PlantsoftheWild, WACD, WildlandsNursery, 	20.83	1309	2018-05-02 22:04:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55260	Alnus incana		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alnus incana ssp. tenuifolia	True	FourthCornerNursery, 	4.17	1310	2009-09-04 08:25:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55273	Alnus incana ssp. tenuifolia		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA3: "Alnus incana subsp. tenuifolia is somewhat more treelike than the eastern A . incana subsp. rugosa , from which it also differs in leaf shape, leaf margins, and other characters. It is a frequent component of streamside vegetation throughout the Rocky Mountains and other mountainous parts of western North America.<br><br>Native Americans used alnus incana subsp. tenuifolia medicinally for pains in the lungs or hips, for scrofula, as a laxative, and as a diuretic for gonorrhea (D. E. Moerman 1986)."	
Alisma	True	FourthCornerNursery, WabashFarms, WatershedGardenWorks, 	12.5	4579	2018-05-02 22:04:00		Vascular Plants: Monocots	Alismataceae	121858	Alisma		genus		N	N	N	N	N	N	N	Native				
Aliciella leptomeria	False		0.0	3485	2009-12-30 13:07:00	David Giblin	Vascular Plants: Dicots	Polemoniaceae	102903	Aliciella leptomeria		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Rare, tracked by WNHP.  G. lottiae, which was split from this taxon is more common in Washington.	
Alliaria	False		0.0	1461	2018-05-02 22:04:00		Vascular Plants: Dicots	Brassicaceae	56716	Alliaria		genus		N	N	N	N	N	N	I	Introduced				
Allium	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, InsidePassageSeeds, NorthwestMeadowscapes, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, StormLakeGrowers, WabashFarms, WatershedGardenWorks, WoodbrookNativePlantNursery, 	50.0	4597	2018-05-02 22:04:00		Vascular Plants: Monocots	Amaryllidaceae	122063	Allium		genus		N	N	N	N	N	N	N	Native				
Aliciella lottiae	False		0.0	3486	2009-12-30 13:10:00	David Giblin	Vascular Plants: Dicots	Polemoniaceae	102907	Aliciella lottiae		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Not in Hitchcock.  This taxon was split from G. leptomeria.	
Allotropa	False		0.0	2099	2018-05-02 22:04:00		Vascular Plants: Dicots	Ericaceae	68294	Allotropa		genus		N	N	N	N	N	N	N	Native				
Alhagi maurorum	False		0.0	2226	2010-02-01 16:46:00	Fred Weinmann	Vascular Plants: Dicots	Fabaceae	71369	Alhagi maurorum		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	Hitchcock et al. Part 3 discusses the occurrence of Alhagi camelorum Fisch. escaped in Grant Co. .	
Allium macrum	False		0.0	4612	2012-08-06 09:56:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122263	Allium macrum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alchemilla mollis	False		0.0	3925	2009-12-23 08:38:00	Sarah Cooke, Peter F. Zika	Vascular Plants: Dicots	Rosaceae	109314	Alchemilla mollis		species		Y	Y	N	Y	N	N				{"Herbarium":"Not at WTU; WS?"}		
Alyssum murale	False		0.0	1466	2013-07-29 12:29:00	David Giblin	Vascular Plants: Dicots	Brassicaceae	56748	Alyssum murale		species		Y	N	N	Y	N	N	I	Introduced		{"Herbarium":"WS"}	Known in Washington from single specimen at WS collected in 1985 from Chelan County irrigation ditch.	
Alopecurus myosuroides	False		0.0	5305	2009-04-29 08:59:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	134041	Alopecurus myosuroides		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA24: "Alopecurus myosuroides is native to Eurasia and grows in moist meadows, deciduous forests, and cultivated or disturbed ground. A significant weed species in temperate cereal crops, it is one of the most damaging weeds of winter cereals in England. It has been introduced repeatedly as a weed of cultivation into many parts of the Flora region, but apparently has not spread to a large degree out of cultivation. Alopecurus myosuroides has been listed as a noxious weed in the state of Washington, one of the states where winter wheat is a major crop."	
