WOODY SPECIES
Vaccinium ovalifolium oval-leafed blueberry 1.60$ 3.50$
Vaccinium ovatum evergreen huckleberry 1.60$ 4.50$
Vaccinium parvifolium red huckleberry 1.60$ 3.00$ 3.50$ 4.50$
Viburnum edule high bush cranberry 1.75$ 3.00$ 4.50$
HERBACEOUS SPECIES
Achillea millefolium yarrow 1.25$ 1.50$ 1.60$ 3.50$
Achlys triphylla vanilla leaf 1.30$ 1.80$ 2.20$
Adiantum aleuticum maidenhair fern 1.80$ 2.20$ 4.25$
Allium acuminatum taper-tip onion 1.50$ (bulb)
Allium cernuum nodding onion 1.25$ 1.60$
Anaphalis margaritacea pearly everlasting 1.00$ 1.50$ 1.60$ 3.50$
Aquilegia formosa red columbine 1.25$ 1.60$ 3.75$
Armeria maritima sea thrift 1.25$ 1.60$ 1.80$
Aruncus dioicus goatsbeard 1.25$ 1.80$ 3.75$
Asarum caudatum wild ginger 1.30$ 1.80$ 2.20$
Asplenium trichomanes maidenhair spleenwort 1.80$ 2.20$
Athyrium filix-femina lady fern 1.80$ 4.25$
Blechnum spicant deer fern 1.80$ 4.25$
Camassia leichtlinii large camas 1.50$ (bulb)
Camassia quamash common camas 1.50$ (bulb)
Campanula rotundifolia bluebell bellflower 1.25$ 1.60$
Carex exsiccata western inflated sedge 1.25$ $ 3.50
Carex inops long stolon sedge 1.25$ $ 3.50
Carex obnupta slough sedge 1.25$ $ 3.50
Carex pachystachya chamisso sedge 1.25$ $ 3.50
Carex scoparia broom sedge 1.25$ $ 3.50
Carex stipata awl-fruit sedge 1.25$ $ 3.50
Clarkia amoena farewell to spring 1.60$
Cornus unalaschkensis bunchberry 1.30$ 1.80$ 2.20$
Danthonia californica California oatgrass 1.25$ $ 3.50
Delphinium menziesii Menzies' larkspur 1.30$ 1.80$
Delphinium trolliifolium Columbian larkspur 1.30$ 1.80$
Deschampsia cespitosa tufted hairgrass 1.25$ $ 3.50
Dicentra formosa pacific bleeding heart 1.80$ $ 4.00
Dodecatheon hendersonii Henderson's shooting star 1.80$ 2.20$
Dryopteris expansa spreading wood fern 1.80$ 2.20$ 4.25$
Eleocharis palustris common spikerush 1.25$ $ 3.50
Elymus glaucus blue wildrye 1.25$ $ 3.50
Erigeron speciosus showy fleabane 1.25$ 1.60$ 1.80$
Eriophyllum lanatum common woolly sunflower 1.25$ 1.50$ 1.60$
Erythranthe guttata common monkeyflower 1.25$ 1.50$ 3.50$
Erythronium oregonum fawn lily 1.50$ (bulb)
Festuca roemeri Roemer's fescue 1.25$ $ 3.50
Fragaria chiloensis beach strawberry 1.00$ 1.40$ 1.60$
Fragaria vesca woodland strawberry 1.00$ 1.40$ 1.60$
Fragaria virginiana Virginia strawberry 1.00$ 1.40$ 1.60$
Fritillaria affinis chocolate lily 1.50$ (bulb)
Gaillardia aristata blanketflower 1.25$ 1.60$ 1.80$ 3.75$
Geum macrophyllum large-leafed avens 1.40$ 1.60$
Gilia capitata bluehead gilia 1.60$
Grindelia integrifolia coast gumweed 1.00$ 1.50$ 1.60$ 3.50$
Gymnocarpium dryopteris western oakfern 1.80$ 2.20$
Heracleum maximum cow parnsip 1.60$ 3.75$
Heuchera chlorantha green-flowered alumroot 1.25$ 1.60$ 1.80$ 3.75$
Heuchera micrantha small flowered alumroot 1.25$ 1.60$ 1.80$ 3.75$
Hydrophyllum tenuipes pacific waterleaf 1.60$ 1.80$
Iris tenax Oregon iris 1.25$ 2.20$ 3.75$
Juncus effusus common rush 1.25$ $ 3.50
Koeleria macrantha prairie junegrass 1.25$ $ 3.50
Lilium columbianum Columbia lily 3.00$ 3.50$
Lomatium dissectum fern-leaf biscuitroot 1.30$
Lomatium utriculatum spring beauty 1.50$
Lupinus albicaulis sickle-keeled lupine 1.25$ 1.60$ 3.75$
Lupinus latifolius broadleaf lupine 1.25$ 1.60$ 3.75$
Lupinus polyphyllus bigleaf lupine 1.25$ 1.60$ 3.75$
Lysichiton americanus skunk cabbage 2.20$ 4.00$
Madia elegans elegant tarweed 1.60$
Maianthemum dilatatum false lily-of-the-valley 1.80$ 2.20$
Maianthemum racemosum false solomon's seal 2.20$ 2.40$ 4.00$
Maianthemum stellatum star flowered false solomon's seal 2.20$ 2.40$
Mentha canadensis wild mint 1.50$ 1.60$ 3.50$
Nothochelone nemorosa woodland beardtongue 1.30$ 1.60$ 1.80$ 3.00$
Oxalis oregana wood sorrel 1.80$ 2.20$
Penstemon ovatus egg-leaf penstemon 1.30$ 1.60$ 1.80$
Penstemon serrulatus cascade/coast penst. 1.30$ 1.60$ 1.80$ 4.00$
Plectritis congesta sea blush 1.60$
Polypodium scouleri leathery polypody 1.80$ 2.20$
Polystichum munitum western sword fern 1.80$ 4.25$
Potentilla anserina silverweed cinquefoil 1.00$ 1.40$ 1.60$
Prosartes hookeri Hooker's fairy bells 2.20$ 2.40$
Prunella vulgaris self heal 1.25$ 1.60$ 1.80$ 3.75$
Ranunculus occidentalis western buttercup 1.00$ 1.40$
Rubus pedatus strawberry bramble 1.35$ 2.20$
Sagittaria latifolia wapato 1.50$ (tuber) 5.00$
"Schoenoplectus tabernaemontani tule, softstem bulrush 1.25$ $ 3.50"
Scirpus microcarpus small fruited bulrush 1.25$ $ 3.50
Sedum divergens spreading stonecrop 1.80$
Sedum lanceolatum spearleaf stonecrop 1.80$
Sedum oreganum Oregon stonecrop 1.80$
Sedum spathulifolium broadleaf stonecrop 1.80$
Sidalcea hendersonii Henderson's checker mallow 1.00$ 1.40$ 1.60$ 3.50$
Sidalcea oregana Oregon checker mallow 1.25$ 1.60$ 1.80$ 3.75$
Sisyrinchium californicum golden-eyed grass 1.25$ 1.60$ 1.80$ 3.75$
Sisyrinchium idahoense blue-eyed grass 1.30$ 1.60$ 1.80$
Solidago lepida western Canada goldenrod 1.50$ 1.60$ 3.50$
